PrénomHomophoneMajoritaire;PrénomHomophoneMinoritaire
aaron;aarone
achraf;achrafe
adam;adame ' Mixte pour la prononciation anglaise
adèle;adel
adrian;adrianne ' Adrián ?
aimée;aimé
alexis;alexie
alfred;alfrède
amane;amaan
amane;aman
anaëlle;anaël
andré;andrée
andy;andie
anne;ann
arielle;ariel
armelle;armel
axel;axelle
ayan;ayane
aydan;aydane
bayane;bayan
bénédicte;bénédict
cameron;camerone
cameron;kameron
cameron;kamerone
carole;carol
charlie;charly
cyril;cyrille
dan;dane
danaël;danaëlle
daniel;danièle
daniel;danielle
dany;danie
dany;dannie
dany;dany
david;davide
dilan;dilane
doctrove;doctrovee
dominique;dominic
dorian;doriane
dorian;dorianne
edmée;edmé
éléonore;éléonor
élie;éli
élie;éllie
élise;éliz
élise;élize
émmanuel;émmanuelle
ernest;erneste
erwan;erwane
ethan;ethane
flore;flor
frédéric;frédérique
gabriel;gabrièle
gabriel;gabrielle
gaëlle;gaël
georges;george
gertrude;gertrud
gil;gille
guénaëlle;guénaël
gwenaëlle;gwenaël
henri;henrie
honoré;honorée
ihsan;ihsane
ihssane;ihssan
ikram;ikrame
imane;iman
imran;imrane
isabelle;isabel
islam;islame
jacky;jackye
jade;jad
janick;jannick
jessy;jesse
jessy;jessie
joe;jo
joël;joëlle
josé;josée
joseph;josèphe
joud;joude
kany;kanye
karim;karime
kilian;kiliane
layane;layan
lie;li
lilian;lilianne
loan;loane
logan;logane
lucie;luci
lyam;lyame
maël;maëlle
mahame;maham
mahé;maé
maïssane;maïssan
mallory;malaurie
mallory;mallaurie
mallory;mallorie
mallory;malorie
maloé;maloée
manuel;manuelle
marcel;marcelle
marie;mari
marie;mary
maud;maude
max;maxe
meïssane;meïssan
michaël;michaëlle
michaël;mickaëlle
michel;michèle
michel;michelle
milan;milane ' Prononciation à vérifier
morgane;morgan
morgane;morgann
muriel;murielle
nathaniel;nathanielle
nil;nile
noam;noame
noan;noane ' Prononciation à vérifier
noé;noée
noël;noëlle
nor;nore
ouissam;ouissame
pascal;pascale
pascal;pasquale
paul;paule
prosper;prospere
raphaël;raphaëlle
rawane;rawan
rayan;rayane
rayan;rayhan
rayan;rayhane
rayen;rayene
rené;renée
rihane;rihan
romane;roman
samuel;samuele ' Pas d'accent ici, car d'origine italienne
samuel;samuelle
sandy;sandi
sandy;sandie
sevan;sevane ' Prononciation à vérifier
shane;shan
sirine;sirin ' Prononciation à vérifier
sloane;sloan
soane;soan
soane;sohan ' Prononciation à vérifier
soane;sohane
stéphane;stephan
swann;swan
tony;toni
tony;tonie
valérie;valéry
vivian;vivianne
wissam;wissame
yaël;yaëlle
yakine;yakin ' Prononciation à vérifier
yann;yan
yann;yane
yann;yanne
yannick;yanic
yannick;yanick
yannick;yanik
yasmine;yasmin
