PrénomCorrigé;PrénomOrigine
aaron;aarone
achraf;achrafe
adam;adame
adel;adèle
adrian;adrianne ' Adrián ?
aimé;aimée
alexis;alexie
alfred;alfrède
aman;amaan
aman;amane
anaël;anaëlle
andré;andrée
andy;andie
ann;anne
ariel;arielle
armel;armelle
axel;axelle
ayan;ayane
aydan;aydane
bayan;bayane
bénédict;bénédicte
cameron;camerone
cameron;kameron
cameron;kamerone
carol;carole
charlie;charly
cyril;cyrille
dan;dane
danaël;danaëlle
daniel;danièle
daniel;danielle
dany;danie
dany;dannie
dany;dany
david;davide
dilan;dilane
doctrove;doctrovee
dominique;dominic
dorian;doriane
dorian;dorianne
edmé;edmée
éléonor;éléonore
éli;élie
éli;éllie
élise;éliz
élise;élize
émmanuel;émmanuelle
émmanuel;émmanuelle
ernest;erneste
erwan;erwane
ethan;ethane
flor;flore
frédéric;frédérique
gabriel;gabrièle
gabriel;gabrielle
gaël;gaëlle
georges;george
gertrud;gertrude
gil;gille
guénaël;guénaëlle
gwenaël;gwenaëlle
henri;henrie
honoré;honorée
ihsan;ihsane
ihssan;ihssane
ikram;ikrame
iman;imane
imran;imrane
isabel;isabelle
islam;islame
jacky;jackye
jade;jad
janick;jannick
'jesse;jess ' Prononciation jessie
jessy;jesse
jessy;jessie
joe;jo
joël;joëlle
josé;josée
joseph;josèphe
joud;joude
kany;kanye
karim;karime
kilian;kiliane
layan;layane
li;lie
lilian;lilianne
loan;loane
logan;logane
lucie;luci
lyam;lyame
maé;mahé
maël;maëlle
maham;mahame
maïssan;maïssane
mallory;malaurie
mallory;mallaurie
mallory;mallorie
mallory;malorie
maloé;maloée
manuel;manuelle
marcel;marcelle
marie;mari
marie;mary
maude;maud
max;maxe
meïssan;meïssane
michaël;michaëlle
michaël;mickaëlle
michel;michèle
michel;michelle
milane;milan
morgan;morgane
morgan;morgann
muriel;murielle
nathaniel;nathanielle
nil;nile
noam;noame
noan;noane
noé;noée
noël;noëlle
nor;nore
ouissam;ouissame
pascal;pascale
pascal;pasquale
paul;paule
prosper;prospere
raphaël;raphaëlle
rawan;rawane
rayan;rayane
rayan;rayhan
rayan;rayhane
rayen;rayene
rené;renée
rihan;rihane
roman;romane
samuel;samuele ' Pas d'accent ici, car d'origine italienne
samuel;samuelle
sandi;sandie
sandi;sandy
sevane;sevan ' Prononciation à vérifier
shan;shane
sirine;sirin ' Prononciation à vérifier
sloan;sloane
soane;soan
soane;sohan
soane;sohane ' Prononciation à vérifier
stéphane;stephan
swann;swan
tony;toni
tony;tonie
valéry;valérie
vivian;vivianne
wissam;wissame
yaël;yaëlle
yakin;yakine ' Prononciation à vérifier
yann;yan
yann;yane
yann;yanne
yannick;yanic
yannick;yanik
yannick;yanick
yasmin;yasmine
