PrénomCorrigé;PrénomOrigine
abbigaëlle;abbigaelle
abbygaël;abbygael
abbygaëlle;abbygaelle
abby-gaëlle;abby-gaelle
abbygaïl;abbygail
abélia;abelia
abigaël;abigael
abigaëlle;abigaelle
abigaïl;abigail
abygaël;abygael
abygaëlle;abygaelle
aby-gaëlle;aby-gaelle
abygaïl;abygail
açelya;acelya
'âdam;adam ' adam reste majoritaire
adéla;adela
adélaïde;adelaide
adélaïs;adelais
adèle;adele
adélia;adelia
adélie;adelie
adélina;adelina
adéline;adeline
adélio;adelio
adélya;adelya
adem;adèm
adénora;adenora
adhémar;adhemar
adlène;adlene
adonaï;adonai
adriàn;adrian
aédan;aedan
aéden;aeden
aël;ael
aéla;aela
aélia;aelia
aëlig;aelig
aéline;aeline
aélis;aelis
aëlle;aelle
aélya;aelya
aëlyne;aelyne
aëlynn;aelynn
aélys;aelys
aéna;aena
aénor;aenor
aéris;aeris
aglaé;aglae
aglaée;aglaee
agnès;agnes
ahcène;ahcene
aïana;aiana
aïcha;aicha
aïchata;aichata
aïchatou;aichatou
aïché;aiche
aïda;aida
aïdan;aidan
aïdann;aidann
aïden;aiden
aïko;aiko
aïla;aila
aïleen;aileen
aïley;ailey
aïline;ailine
aïlyne;ailyne
aïlys;ailys
aïman;aiman
aïmane;aimane
aimé;aime
aimée;aimee
aïmen;aimen
aïna;aina
aïnara;ainara
aïnhoa;ainhoa
aïnoa;ainoa
aïnoha;ainoha
aïron;airon
aïsha;aisha
aïssa;aissa
aïssam;aissam
aïssata;aissata
aïssatou;aissatou
aïsse;aisse
aïsseta;aisseta
aïssetou;aissetou
aïtana;aitana
aïtor;aitor
aïvy;aivy
aïwen;aiwen
aïyana;aiyana
aïza;aiza
alaâ;alaa
'alaé;alae ' Prononcation à vérifier
alaïa;alaia
alaïna;alaina
alaïs;alais
albéric;alberic
aldéric;alderic
aléa;alea
aléandro;aleandro
alécia;alecia
alekseï;aleksei
aléna;alena
alès;ales
alésia;alesia
aléssia;alessia
aléssio;alessio
alexeï;alexei
aléxia;alexia
aléxis;alexis
alézia;alezia
alézio;alezio
alfréda;alfreda
alfrède;alfrede
alïa;alia
aliénor;alienor
aliséa;alisea
alisée;alisee
alizé;alize
