PrénomCorrigé;PrénomOrigine
toto;tata
adélaïde;adelaide
adèle;adele
aimée;aimee
aïssa;aissa
'alaé;alae ' Prononcation à vérifier
alfrède;alfrede
aloïs;alois
aloïse;aloise
amedée;amedee
anaël;anael
anaëlle;anaelle
andré;andre
andréa;andrea
arsène;arsene
barthélemy;barthelemy
bénédict;benedict
bénédicte;benedicte
céleste;celeste
cléo;cleo
côme;come
danaël;danael
danaëlle;danaelle
danièle;daniele
dorothée;dorothee
éden;eden
edmé;edme
edmée;edmee
éléonor;eleonor
éléonore;eleonore
éli;eli
élia;elia
élie;elie
élise;elise
élisée;elisee
éliz;eliz
élize;elize
éllie;ellie
émilie;emilie
émmanuel;emmanuel
émmanuelle;emmanuelle
espérance;esperance
évariste;evariste
félicité;felicite
frédéric;frederic
frédérique;frederique
gabrièle;gabriele
gaël;gael
gaëlle;gaelle
guénaëlle;guenaelle
gwenaël;gwenael
gwenaëlle;gwenaelle
heïdi;heidi
honoré;honore
honorée;honoree
irenée;irenee
joël;joel
joëlle;joelle
josé;jose
josée;josee
josèphe;josephe
judicaël;judicael
kévin;kevin
léocadie;leocadie
léonard;leonard
léonce;leonce
maé;mae
maël;mael
maëlle;maelle
mahé;mahe
maïssan;maissan
maïssane;maissane
maloé;maloe
médéric;mederic
médine;medine
meïssan;meissan
meïssane;meissane
méryl;meryl
michaël;michael
michaëlle;michaelle
michèle;michele
mickaëlle;mickaelle
naël;nael
naïs;nais
noé;noe
noée;noee
noël;noel
raphaël;raphael
raphaëlle;raphaelle
rené;rene
stéphane;stephane
sylvère;sylvere
thaïs;thais
théodore;theodore
valère;valere
valéry;valery ' Existe aussi sans accent
yaël;yael
yaëlle;yaelle
