Prénom;PrénomAutreGenre
adrienne;adrien
alban;albanne
alberte;albert
albertine;albert
alexandre;alexandra
alexandre;alexandrine
alie;aliette ' 41 occurrences seulement pour alie
allie;alliette
aloïse;aloïs
alphonse;alphonsine
anice;anicette
anne;annette
anne-julie;anne-juliette
anthelme;anthelmette
antoine;antoinette
aude;audette ' 106 occurrences seulement pour audette
augustin;augustine
aure;aurette ' 7 occurrences seulement pour aurette 
aurélie;aurèle
aurélie;aurélia
aurélie;aurélien
bérangère;béranger
bernadette;bernard
bernarde;bernardette
blanche;blanchette ' 48 occurrences seulement pour blanchette
brune;brunette
camille;camillette ' 3 occurrences seulement pour camillette
catherine;catherinette
célestin;céleste
célestin;célestine
charlie;charlène
charlie;charles
charlie;charlette
charlie;charline
charlie;charlotte
christiane;christian
claire;clairette
claude;claudette
claude;claudie
claude;claudine
claude;claudy
claudinette;claudine
clément;clémence
clément;clémentine
coline;colinette ' 12 occurrences seulement pour colinette
constant;constance
corentine;corentin
denise;denis
dominique;dominiquette ' 81 occurrences seulement pour dominiquette
dominique;dominico
dominique;dominica
dorian;doriane
dorothée;théodore
edwige;edwig ' 6 occurrences seulement pour edwig
élie;éliette
émile;émilie
émilien;émilienne
éric;érica
éric;érika
ernest;ernestine
etienne;etiennette
eugène;eugénie
fabien;fabienne
fauve;fauvette
fernande;fernand
flavien;flavie
fleur;fleury
fleure;fleurette
fleurian;fleurianne
flore;florette
florence;florent
florian;florianne
france;francette
francie;franciette
francille;francillette
francine;francinette ' 55 occurrences seulement pour francinette
'francine;france ' on a déjà regroupé france avec francette
gaëtan;gaëtanne
gastonne;gastonnette
gatien;gatienne
georges;georgette
georgine;georginette ' 3 occurrences seulement pour georginette
gérald;géraldine
ghislaine;ghislain
gille;gillette
gine;ginette ' 3 occurrences seulement pour gine
gracie;graciette
guilhemine;guilhem
guillaume;guillaumette
guillaume;guillemette
gwenvaëlla;gwenvaël
helie;heliette
henri;henrie ' 49 occurrences seulement pour henrie
henri;henriette
henri;henry
herveline;hervé
hugues;huguette
ive;ivette ' 9 occurrences seulement pour ive et 536 pour ivette
jacquemine;jacqueminette
jacques;jackie
jacques;jacqueline
jacques;jacquette
jeanne;jane
jeanne;jean
jeanne;jeannette
jeanne;jeannine
jéromine;jérôme
jocelyne;jocelyn
joffre;joffrette
johan;johanna
joseph;joséphine
josse;jossette
joze;jozette
jule;julette ' 6 occurrences seulement pour julette
julie;juliette
julien;julienne
julien;juliette
justin;justine
laure;laurette
laurent;laurence
lazare;lazarette
léon;léone
léon;léonie
léon;léonne
léon;léontine
leone;leonette
lily;lilie
lily;liliette ' 6 occurrences seulement pour liliette
line;linette
lise;lisette
lore;lorette
louise;louis
louise;louïsa
'louise;louïse ' homophone plutôt
louise;louisette
luce;lucette
lucien;lucienne
lyne;lynette ' 69 occurrences seulement pour lynette
lyse;lysette ' 13 occurrences seulement pour lysette
margo;margotte ' 49 occurrences seulement pour margotte
marie;mariette
marie-anne;marie-annette ' 169 occurrences seulement pour marie-annette
marie-antoine;marie-antoinette ' 6 occurrences seulement pour marie-antoine
marie-claude;marie-claudette ' 92 occurrences seulement pour marie-claudette
marie-etienne;marie-etiennette
marie-france;marie-francette ' 6 occurrences seulement pour marie-francette
marie-george;marie-georgette
marie-jose;marie-josette
marie-julie;marie-juliette
marie-laure;marie-laurette ' 3 occurrences seulement pour marie-laurette
marie-lise;marie-lisette ' 6 occurrences seulement pour marie-lisette
marie-louise;marie-louisette ' 3 occurrences seulement pour marie-louisette
marie-luce;marie-lucette ' 21 occurrences seulement pour marie-lucette
marie-paule;marie-paulette ' 65 occurrences seulement pour marie-paulette
marie-pierre;marie-pierrette ' 147 occurrences seulement pour marie-pierrette
marine;marinette
mario;mariotte ' 48 occurrences seulement pour mariotte
marise;marisette ' 72 occurrences seulement pour marisette
martine;martin
maryne;marynette ' 11 occurrences seulement pour marynette
maryse;marysette
maurice;mauricette
maxette;maxe
maximilien;maximilienne
michèl;micheline
mignonne;mignonnette
mimose;mimosette
mine;minette
moise;moisette ' 3 occurrences seulement pour moïsette
moïse;moïsette ' 3 occurrences seulement pour moïsette
morice;moricette
nene;nenette
nicole;nicolas
nicole;nicolette
nine;ninette
nise;nisette
nordine;nordi ' 66 occurrences seulement pour nordi
nordine;nordin
ode;odette ' 67 occurrences seulement pour ode
olive;olivette
pascal;pascaline
patricia;patrice
paul;paula
paul;paulette
paul;paulia ' 17 occurrences seulement pour paulia
paul;paulin
paul;pauline
perle;perlette ' 6 occurrences seulement pour perlette
pierre;pierrette
raymonde;raymond
reine;reinette
robert;roberte
roge;rogette
roland;rolande
rose;rosette
serge;sergette ' 74 occurrences seulement pour sergette
simone;simon
simone;simonette ' 31 occurrences seulement pour simonette
simone;simonne
stéphane;stéphanie
suze;suzette ' 3 occurrences seulement pour suze
sylvaine;sylvain
sylvie;sylve ' 10 occurrences seulement pour sylve
sylvie;sylvette
théodora;théodore
toine;toinette
valentine;valentin
valérian;valérianne
yole;yolette
yves;yvette
yvonne;yvon
yvonne;yvonnette
