Prénom;PrénomAutreGenre
adrienne;adrien
alberte;albert
albertine;albert
alexandra;alexandre
alie;aliette
allie;alliette
aloïse;aloïs
anice;anicette
anne;annette
anne-julie;anne-juliette
anthelme;anthelmette
antoine;antoinette
aude;audette
aure;aurette
aurélie;aurèle
aurélie;aurélien
bérangère;béranger
bernadette;bernard
bernarde;bernardette
blanche;blanchette
brune;brunette
camille;camillette
catherine;catherinette
charle;charlette
charline;charles
christiane;christian
claire;clairette
claude;claudette
claude;claudie
claude;claudine
claude;claudy
claudinette;claudine
clémence;clément
coline;colinette
corentine;corentin
denise;denis
dominique;dominiquette
dorian;doriane
dorothée;théodore
edwige;edwig
élie;éliette
éric;érica
éric;érika
ernest;ernestine
etienne;etiennette
fauve;fauvette
fernande;fernand
fleur;fleury
fleure;fleurette
flore;florette
florence;florent
france;francette
francie;franciette
francille;francillette
francine;francinette
gastonne;gastonnette
georges;georgette
georgine;georginette
ghislaine;ghislain
gille;gillette
gine;ginette
gracie;graciette
guilhemine;guilhem
guillaume;guillaumette
guillaume;guillemette
gwenvaëlla;gwenvaël
helie;heliette
henri;henriette
henrie;henriette
herveline;hervé
hugues;huguette
ive;ivette
jacque;jacquette
jacqueline;jacques
jacquemine;jacqueminette
jane;janette
janne;jannette
jeane;jeanette
jeanne;jean
jeanne;jeannette
jéromine;jérôme
jocelyne;jocelyn
joffre;joffrette
joseph;joséphine
josse;jossette
joze;jozette
jule;julette
julie;juliette
laure;laurette
lazare;lazarette
leone;leonette
lilie;liliette
lilie;lily
lilie;lilye
line;linette
lise;lisette
lore;lorette
louise;louis
louise;louisette
luce;lucette
lyne;lynette
lyse;lysette
margo;margotte
marie;mariette
marie-anne;marie-annette
marie-antoine;marie-antoinette
marie-claude;marie-claudette
marie-etienne;marie-etiennette
marie-france;marie-francette
marie-george;marie-georgette
marie-jose;marie-josette
marie-julie;marie-juliette
marie-laure;marie-laurette
marie-lise;marie-lisette
marie-louise;marie-louisette
marie-luce;marie-lucette
marie-paule;marie-paulette
marie-pierre;marie-pierrette
marine;marinette
mario;mariotte
marise;marisette
martine;martin
maryne;marynette
maryse;marysette
maurice;mauricette
maxette;maxe
mignonne;mignonnette
mimose;mimosette
mine;minette
moise;moisette
moïse;moïsette
morice;moricette
nene;nenette
nicole;nicolas
nicole;nicolette
nine;ninette
nise;nisette
ode;odette
olive;olivette
pascal;pascaline
patricia;patrice
paul;paula
paul;paulette
paul;paulia
paule;paulette
pauline;paulin
perle;perlette
pierre;pierrette
raymonde;raymond
reine;reinette
roge;rogette
rose;rosette
serge;sergette
simone;simon
simone;simonette
stéphane;stéphanie
suze;suzette
sylvaine;sylvain
sylve;sylvette
théodora;théodore
toine;toinette
valentine;valentin
yole;yolette
yve;yvette
yvonne;yvonnette
